symbol,name,fyers_symbol
ANDHRSUGAR,The Andhra Sugars Limited,NSE:ANDHRSUGAR-EQ
ANDREWYU,Andrew Yule & Company Limited,NSE:ANDREWYU-EQ
ANGELONE,Angel One Limited,NSE:ANGELONE-EQ
ANIKINDS,Anik Industries Limited,NSE:ANIKINDS-EQ
ANMOL,Anmol India Limited,NSE:ANMOL-EQ
ANNAPURNA,Annapurna Swadisht Limited,NSE:ANNAPURNA-EQ
ANSALBU,Ansal Buildwell Limited,NSE:ANSALBU-EQ
ANTELOPUS,Antelopus Selan Energy Limited,NSE:ANTELOPUS-EQ
ANTGRAPHIC,Antarctica Limited,NSE:ANTGRAPHIC-EQ
ANTHEM,Anthem Biosciences Limited,NSE:ANTHEM-EQ
ANUHPHR,Anuh Pharma Limited,NSE:ANUHPHR-EQ
ANUP,The Anup Engineering Limited,NSE:ANUP-EQ
ANURAS,Anupam Rasayan India Limited,NSE:ANURAS-EQ
APARINDS,Apar Industries Limited,NSE:APARINDS-EQ
APCL,Anjani Portland Cement Limited,NSE:APCL-EQ
APCOTEXIND,Apcotex Industries Limited,NSE:APCOTEXIND-EQ
APEX,Apex Frozen Foods Limited,NSE:APEX-EQ
APLAPOLLO,APL Apollo Tubes Limited,NSE:APLAPOLLO-EQ
APLLTD,Alembic Pharmaceuticals Limited,NSE:APLLTD-EQ
APOLLO,Apollo Micro Systems Limited,NSE:APOLLO-EQ
APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE:APOLLOHOSP-EQ
APOLLOPIPE,Apollo Pipes Limited,NSE:APOLLOPIPE-EQ
APOLLOTYRE,Apollo Tyres Limited,NSE:APOLLOTYRE-EQ
APOLSINHOT,Apollo Sindoori Hotels Limited,NSE:APOLSINHOT-EQ
APOORVA,Apoorva Leasing Finance and Investment Company Limited,NSE:APOORVA-EQ
APTUS,Aptus Value Housing Finance India Limited,NSE:APTUS-EQ
AQYLON,Aqylon Nexus Limited,NSE:AQYLON-EQ
ARCHIDPLY,Archidply Industries Limited,NSE:ARCHIDPLY-EQ
ARCHIES,Archies Limited,NSE:ARCHIES-EQ
ARCL,ARCL Organics Limited,NSE:ARCL-EQ
ARDEE,Ardee Industries Limited,NSE:ARDEE-EQ
ARE&M,Amara Raja Energy & Mobility Limited,NSE:ARE&M-EQ
ARENTERP,Rajdarshan Industries Limited,NSE:ARENTERP-EQ
ARFIN,Arfin India Limited,NSE:ARFIN-EQ
ARIHANT,Arihant Foundations & Housing Limited,NSE:ARIHANT-EQ
ARIHANTCAP,Arihant Capital Markets Limited,NSE:ARIHANTCAP-EQ
ARIHANTSUP,Arihant Superstructures Limited,NSE:ARIHANTSUP-EQ
ARIS,Arisinfra Solutions Limited,NSE:ARIS-EQ
ARKADE,Arkade Developers Limited,NSE:ARKADE-EQ
ARMANFIN,Arman Financial Services Limited,NSE:ARMANFIN-EQ
AROGRANITE,Aro Granite Industries Limited,NSE:AROGRANITE-EQ
ARSSBL,Anand Rathi Share and Stock Brokers Limited,NSE:ARSSBL-EQ
ARTEMISMED,Artemis Medicare Services Limited,NSE:ARTEMISMED-EQ
ARTNIRMAN,Art Nirman Limited,NSE:ARTNIRMAN-EQ
ARVEE,Arvee Laboratories (India) Limited,NSE:ARVEE-EQ
ARVIND,Arvind Limited,NSE:ARVIND-EQ
ARVINDFASN,Arvind Fashions Limited,NSE:ARVINDFASN-EQ
ARVSMART,Arvind SmartSpaces Limited,NSE:ARVSMART-EQ
ARYAMAN,Aryaman Financial Services Limited,NSE:ARYAMAN-EQ
ASAHIINDIA,Asahi India Glass Limited,NSE:ASAHIINDIA-EQ
ASAL,Automotive Stampings and Assemblies Limited,NSE:ASAL-EQ
ASALCBR,Associated Alcohols & Breweries Ltd.,NSE:ASALCBR-EQ
ASHAPURMIN,Ashapura Minechem Limited,NSE:ASHAPURMIN-EQ
ASHIANA,Ashiana Housing Limited,NSE:ASHIANA-EQ
ASHIMASYN,Ashima Limited,NSE:ASHIMASYN-EQ
